,City1,City2,Passenger Count,Flight Count,Average Capacity (%),Flight Distance (km),Plane Size (seats),Route Type
0,SYDNEY,WAGGA WAGGA,182763,5502,63.62,367.0,52.4,Capital-Metro
1,SYDNEY,BRISBANE,4746256,35401,82.51,753.0,162.4,Capital-Capital
2,SYDNEY,PERTH,1716477,9031,81.88,3284.0,231.98,Capital-Capital
3,SYDNEY,MELBOURNE,9097339,60075,84.42,706.0,179.33,Capital-Capital
4,SYDNEY,LAUNCESTON,286425,1940,85.51,914.0,171.9,Capital-Metro
5,SYDNEY,HOBART,655850,4861,83.54,1039.0,160.92,Capital-Capital
6,SYDNEY,HAMILTON ISLAND,196023,1784,65.13,1526.0,166.5,Capital-Regional
7,SYDNEY,GOLD COAST,2740745,18038,86.39,680.0,175.72,Capital-Metro
8,SYDNEY,DUBBO,190801,6174,67.99,310.0,45.68,Capital-Regional
9,SYDNEY,DARWIN,321654,2570,73.16,3155.0,169.06,Capital-Capital
10,SYDNEY,COFFS HARBOUR,347191,5086,73.27,443.0,93.24,Capital-Metro
11,SYDNEY,CANBERRA,949178,16208,73.1,236.0,79.93,Capital-Capital
12,SYDNEY,CAIRNS,1129324,7321,84.59,1971.0,182.15,Capital-Metro
13,SYDNEY,PROSERPINE,47414,324,65.04,1213.6,180.04,Capital-Regional
14,SYDNEY,PORT MACQUARIE,192323,4376,75.22,321.0,58.54,Capital-Regional
15,SYDNEY,TOWNSVILLE,160561,1239,77.56,1690.0,165.78,Capital-Metro
16,SYDNEY,TAMWORTH,180730,4538,63.34,320.0,63.05,Capital-Regional
17,SYDNEY,SUNSHINE COAST,582671,4380,80.31,837.0,165.13,Capital-Metro
18,SYDNEY,ADELAIDE,1898268,13931,81.9,1167.0,166.21,Capital-Capital
19,SYDNEY,ALBURY,224025,6054,67.24,452.0,55.17,Capital-Metro
20,SYDNEY,ARMIDALE,126175,4410,68.62,382.0,41.76,Capital-Regional
21,SYDNEY,AYERS ROCK,191479,1391,77.92,2181.0,176.58,Capital-Regional
22,SYDNEY,BALLINA,403943,3304,80.67,612.0,151.04,Capital-Regional
23,BRISBANE,DARWIN,406183,3084,80.17,2852.0,163.59,Capital-Capital
24,BRISBANE,TOWNSVILLE,960180,8857,76.65,1112.0,141.17,Capital-Metro
25,BRISBANE,EMERALD,197570,4049,65.88,653.0,74.47,Capital-Regional
26,BRISBANE,ADELAIDE,849643,6710,76.47,1622.0,165.2,Capital-Capital
27,BRISBANE,CAIRNS,1377900,10168,84.72,1391.0,159.94,Capital-Metro
28,BRISBANE,BUNDABERG,173864,3773,74.47,287.0,62.18,Capital-Metro
29,BRISBANE,CANBERRA,594258,6083,70.16,956.0,139.26,Capital-Capital
30,BRISBANE,MOUNT ISA,125273,1835,67.18,1573.0,101.56,Capital-Regional
31,BRISBANE,GLADSTONE,281617,5234,72.35,434.0,74.68,Capital-Regional
32,BRISBANE,HAMILTON ISLAND,128206,1535,68.3,888.0,122.5,Capital-Regional
33,BRISBANE,MACKAY,697915,7202,79.26,797.0,122.12,Capital-Metro
34,BRISBANE,MELBOURNE,3541071,25806,80.97,1381.0,169.26,Capital-Capital
35,BRISBANE,MORANBAH,90363,2292,42.78,780.0,69.41,Capital-Regional
36,BRISBANE,HOBART,212708,1424,84.83,1791.0,176.15,Capital-Capital
37,BRISBANE,NEWCASTLE,590663,6138,73.7,614.0,130.7,Capital-Metro
38,BRISBANE,ROCKHAMPTON,522058,7948,82.42,518.0,79.78,Capital-Metro
39,BRISBANE,PERTH,969064,5911,81.81,3615.0,200.3,Capital-Capital
40,BRISBANE,PROSERPINE,259500,1805,81.34,895.0,176.79,Capital-Regional
41,MELBOURNE,LAUNCESTON,923152,8921,79.71,476.0,129.53,Capital-Metro
42,MELBOURNE,TOWNSVILLE,54239,372,65.2,1644.0,178.83,Capital-Metro
43,MELBOURNE,CAIRNS,841314,5203,85.06,2311.0,189.24,Capital-Metro
44,MELBOURNE,PERTH,2033242,11110,83.58,2706.0,218.59,Capital-Capital
45,MELBOURNE,NEWCASTLE,476066,3378,78.88,836.0,178.6,Capital-Metro
46,MELBOURNE,MILDURA,212012,4864,63.28,457.0,68.9,Capital-Regional
47,MELBOURNE,GOLD COAST,2012590,12389,86.5,1330.0,187.74,Capital-Metro
48,MELBOURNE,ADELAIDE,2456426,19127,80.42,643.0,159.6,Capital-Capital
49,MELBOURNE,DARWIN,306327,2168,79.97,3131.0,175.78,Capital-Capital
50,MELBOURNE,CANBERRA,1132954,11330,66.12,470.0,151.27,Capital-Capital
51,MELBOURNE,HOBART,1630259,12161,81.96,618.0,163.5,Capital-Capital
52,MELBOURNE,HAMILTON ISLAND,27958,221,18.28,491.25,171.41,Capital-Regional
53,MELBOURNE,SUNSHINE COAST,485776,3220,85.44,1454.0,176.62,Capital-Metro
54,PERTH,KALGOORLIE,241869,3436,58.2,538.0,120.73,Capital-Regional
55,PERTH,ADELAIDE,614141,5465,73.21,2120.0,153.47,Capital-Capital
56,PERTH,BROOME,313383,3673,73.4,1677.0,114.49,Capital-Regional
57,PERTH,GERALDTON,111936,2305,48.96,370.0,100.0,Capital-Regional
58,PERTH,NEWMAN,284874,3957,53.02,1019.0,135.9,Capital-Regional
59,PERTH,PORT HEDLAND,337347,4428,63.72,1312.0,119.72,Capital-Regional
60,PERTH,DARWIN,198365,1551,76.7,2651.0,165.91,Capital-Capital
61,PERTH,KARRATHA,436887,6170,63.1,1250.0,112.0,Capital-Regional
62,ADELAIDE,ALICE SPRINGS,124466,1201,68.39,1316.0,152.05,Capital-Regional
63,ADELAIDE,PORT LINCOLN,171499,7418,59.66,246.0,38.85,Capital-Regional
64,ADELAIDE,GOLD COAST,214185,1481,81.8,1607.0,176.68,Capital-Metro
65,ADELAIDE,CANBERRA,181576,1715,64.03,972.0,165.15,Capital-Capital
66,DARWIN,ALICE SPRINGS,118772,1766,55.75,1305.0,119.84,Capital-Regional
67,CAIRNS,TOWNSVILLE,141812,4541,51.6,284.0,60.54,Metro-Metro
