,State1,State2,Value
0,NSW,NSW,1847951
1,NSW,QLD,10193657
2,NSW,VIC,9573405
3,NSW,WA,1716477
4,NSW,SA,1898268
5,NSW,NT,513133
6,NSW,ACT,949178
7,NSW,TAS,942275
8,QLD,QLD,4956258
9,VIC,QLD,6962948
10,WA,QLD,969064
11,SA,QLD,1063828
12,NT,QLD,406183
13,ACT,QLD,594258
14,TAS,QLD,212708
15,VIC,VIC,212012
16,WA,VIC,2033242
17,SA,VIC,2456426
18,NT,VIC,306327
19,ACT,VIC,1132954
20,TAS,VIC,2553411
21,WA,WA,1726296
22,WA,SA,614141
23,WA,NT,198365
24,WA,ACT,0
25,WA,TAS,0
26,SA,SA,171499
27,NT,SA,124466
28,ACT,SA,181576
29,TAS,SA,0
30,NT,NT,118772
31,ACT,NT,0
32,TAS,NT,0
33,ACT,ACT,0
34,ACT,TAS,0
35,TAS,TAS,0
36,QLD,NSW,10193657
37,VIC,NSW,9573405
38,WA,NSW,1716477
39,SA,NSW,1898268
40,NT,NSW,513133
41,ACT,NSW,949178
42,TAS,NSW,942275
43,QLD,VIC,6962948
44,QLD,WA,969064
45,QLD,SA,1063828
46,QLD,NT,406183
47,QLD,ACT,594258
48,QLD,TAS,212708
49,VIC,WA,2033242
50,VIC,SA,2456426
51,VIC,NT,306327
52,VIC,ACT,1132954
53,VIC,TAS,2553411
54,SA,WA,614141
55,NT,WA,198365
56,ACT,WA,0
57,TAS,WA,0
58,SA,NT,124466
59,SA,ACT,181576
60,SA,TAS,0
61,NT,ACT,0
62,NT,TAS,0
63,TAS,ACT,0
