City,Latitude,Longitude,Population,Area (km sq),State,Class,Airport distance to CBD (km)
SYDNEY,-33.8688,151.2093,5312163,2058,NSW,Capital,9.6
MELBOURNE,-37.8136,144.9631,5078193,999,VIC,Capital,22
BRISBANE,-27.4698,153.0251,2482114,1607.6,QLD,Capital,16.6
PERTH,-31.9505,115.8605,2083400,6415.9,WA,Capital,10.6
ADELAIDE,-34.9285,138.6007,1345777,1826.9,SA,Capital,6.8
GOLD COAST,-28.0167,153.4,591473,414.3,QLD,Metro,21.5
CANBERRA,-35.2809,149.13,431114,814.2,ACT,Capital,7.7
SUNSHINE COAST,-26.65,153.0667,333436,1715,QLD,Metro,7.8
NEWCASTLE,-32.9267,151.7743,322278,262.8,NSW,Metro,18.5
HOBART,-42.8821,147.3272,240342,1357.3,TAS,Capital,17.4
TOWNSVILLE,-19.2563,146.8237,190631,726.8,QLD,Metro,5
CAIRNS,-16.9203,145.7709,150920,254.6,QLD,Metro,6.3
DARWIN,-12.4634,130.8456,147255,112,NT,Capital,8.3
LAUNCESTON,-41.4545,147.1315,87472,114.6,TAS,Metro,14.6
MACKAY,-21.1535,149.1652,80772,242.8,QLD,Metro,6.7
ROCKHAMPTON,-23.3777,150.51,80123,200.7,QLD,Metro,5.9
COFFS HARBOUR,-30.2963,153.1136,75006,73.5,NSW,Metro,3.8
BUNDABERG,-24.8662,152.3476,70480,252.8,QLD,Metro,5.3
WAGGA WAGGA,-35.115,147.3678,63689,452.9,NSW,Metro,10.1
ALBURY,-36.0737,146.9135,52681,53.2,NSW,Metro,4
PORT MACQUARIE,-31.4333,152.9,45443,322.5,NSW,Regional,4.3
BALLINA,-28.865,153.5715,41075,42.8,NSW,Regional,4.9
DUBBO,-32.2569,148.6013,38868,342.9,NSW,Regional,5.2
GERALDTON,-28.7773,114.6143,37675,437.8,WA,Regional,6
GLADSTONE,-23.8422,151.2462,34887,85.4,QLD,Regional,5.1
MILDURA,-34.2085,142.131,33814,49.4,VIC,Regional,6.6
KALGOORLIE,-30.7497,121.466,30909,95.3,WA,Regional,4.2
ARMIDALE,-30.5083,151.6725,28600,51.1,NSW,Regional,4.7
TAMWORTH,-31.0928,150.9325,24463,53.4,NSW,Regional,6.5
ALICE SPRINGS,-23.698,133.8813,24273,148.5,NT,Regional,14.3
MOUNT ISA,-20.725,139.49,23133,43,QLD,Regional,5
KARRATHA,-20.7377,116.846,16133,15.7,WA,Regional,2.9
PORT LINCOLN,-34.724,135.8601,16000,93.3,SA,Regional,11.2
EMERALD,-23.5271,148.1672,15438,133.5,QLD,Regional,6.8
PORT HEDLAND,-20.31,118.5878,14718,382.2,WA,Regional,5.8
BROOME,-17.9614,122.2359,14200,55.8,WA,Regional,2.7
MORANBAH,-22.0016,148.0414,9459,70.9,QLD,Regional,6.1
NEWMAN,-23.3575,119.7402,5246,32.2,WA,Regional,4.3
PROSERPINE,-20.4062,148.5541,3830,21.2,QLD,Regional,1.9
HAMILTON ISLAND,-20.351,148.957,1200,5.5,QLD,Regional,0.5
AYERS ROCK,-25.3444,131.0369,110,3.3,NT,Regional,1.2
